parameter_name,Creatinine
mouse_life_stage,Early adult
pvalue,0.4474596
analysis_id,1fylef85lt1zj1n
mouse_strain,C57BL
gene_symbol,Fpgs
gene_accession_id,MGI:95576
parameter_id,IMPC_CBC_005_001
