gene_symbol,Ifi44
parameter_name,Retina (combined)
mouse_strain,C57BL
pvalue,0.8124863
analysis_id,780p599svy69lvo
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:2443016
