parameter_name,Glucose
analysis_id,fxl19u3hrg5d3mm
mouse_strain,C57BL
parameter_id,IMPC_CBC_018_001
mouse_life_stage,Late adult
pvalue,0.8197342
gene_accession_id,MGI:1934811
gene_symbol,Nucks1
