gene_symbol,Bach2
mouse_life_stage,Early adult
pvalue,0.6649226
parameter_name,Hindlimb nail - number
analysis_id,5iuz0j1eq4z1lad
mouse_strain,C57BL
gene_accession_id,MGI:894679
parameter_id,IMPC_CSD_051_002
