parameter_name,Neural tube morphology
gene_symbol,Frmpd1
pvalue,0.3950948
parameter_id,IMPC_GEL_060_001
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
analysis_id,c76q98mqe8359b3
mouse_strain,C57BL
