gene_symbol,BACH2
gene_accession_id,MGI:894679
parameter_id,ESLIM_011_001_002
pvalue,0.4612711
analysis_id,5n3517q66112x0v
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,PP1 startle magnitude
