parameter_name,Lymphocyte differential count
mouse_life_stage,Early adult
gene_symbol,Hpca
parameter_id,IMPC_HEM_031_001
gene_accession_id,MGI:1336200
pvalue,0.1561121
analysis_id,ldzv5luxy23i9i0
mouse_strain,C57BL
