gene_symbol,Tubb4b
pvalue,0.3066136
mouse_strain,C57BL
gene_accession_id,MGI:1915472
parameter_id,IMPC_OFD_017_001
mouse_life_stage,Early adult
parameter_name,Center average speed
analysis_id,wi0rs9dg459z8tf
