parameter_name,Skull shape
gene_symbol,Sfpq
pvalue,0.9741709
parameter_id,IMPC_XRY_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,ea843341550wmn3
gene_accession_id,MGI:1918764
