gene_symbol,Sass6
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
gene_accession_id,MGI:1920026
pvalue,0.1320173
analysis_id,sr3v8hdg26uoa5e
parameter_id,MGP_PBI_030_001
