parameter_id,MGP_IMM_071_001
mouse_strain,C57BL
analysis_id,2l0875g5p9292y6
gene_symbol,Ints7
mouse_life_stage,Early adult
pvalue,0.942953
gene_accession_id,MGI:1924315
parameter_name,Total CD4+ T cells - % of CD45+
