gene_symbol,Rab22a
analysis_id,9zc96lx52605b5l
parameter_id,MGP_CSD_008_001
mouse_strain,C57BL
pvalue,1.474334
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
parameter_name,Startle response
