analysis_id,na856x2230i6xuk
gene_accession_id,MGI:2685266
gene_symbol,Pglyrp3
parameter_id,IMPC_ABR_008_001
pvalue,0.6839347
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,18kHz-evoked ABR Threshold
