gene_symbol,Arpc2
pvalue,0.4333802
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:1923959
parameter_id,HRWLLA_CSD_008_001
analysis_id,5sl999w8gwj5c41
mouse_life_stage,Early adult
mouse_strain,C57BL
