analysis_id,0qyu2a6jij1hxk5
parameter_name,Resting NK cells - % of NK cells
pvalue,0.3122428
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
parameter_id,MGP_MLN_033_001
gene_symbol,Nemp2
