analysis_id,8n7629k5n4c1s1c
pvalue,0.9620348
mouse_strain,C57BL
parameter_name,Lens Opacity
gene_accession_id,MGI:3616086
gene_symbol,Kcng1
mouse_life_stage,Early adult
parameter_id,UCDLA_EYE_017_001
