analysis_id,d863fm5cw1ru580
gene_accession_id,MGI:107414
pvalue,0.5025926
parameter_id,IMPC_IMM_005_002
mouse_life_stage,Early adult
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
gene_symbol,Tnfsf10
mouse_strain,C57BL
