analysis_id,f5uh93p86wzi2p8
gene_symbol,Lpgat1
mouse_strain,C57BL
parameter_name,Mean left eye lens density
gene_accession_id,MGI:2446186
parameter_id,IMPC_EYE_056_001
pvalue,0.5394801
mouse_life_stage,E18.5
