analysis_id,z36l52r9v22g396
pvalue,0.2263308
mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - head
gene_accession_id,MGI:1913576
mouse_strain,C57BL
parameter_id,IMPC_CSD_012_001
gene_symbol,Dnajc5b
