analysis_id,80rf9weu9tq1ikd
pvalue,0.06333121
parameter_id,IMPC_GPP_004_001
parameter_name,Placenta Size
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
mouse_strain,C57BL
mouse_life_stage,Late adult
