analysis_id,vv1rz1q2s7420u9
pvalue,0.058055
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,CD8+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_033_001
gene_accession_id,MGI:87968
gene_symbol,Ahcy
