analysis_id,p4o3t903dq71y82
pvalue,0.3727831
gene_accession_id,MGI:1336200
parameter_name,Coat - hair distribution - head
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_012_001
gene_symbol,Hpca
