analysis_id,6826auh1s3c5ko2
pvalue,0.2866007
parameter_name,Transitional 1 B cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_110_001
gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
