parameter_name,Contact righting
analysis_id,349ch87011feps9
parameter_id,JAXLA_CSD_077_001
gene_accession_id,MGI:97838
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.568289
gene_symbol,Eprs1
