analysis_id,939rmj23e014lq1
gene_accession_id,MGI:1914944
gene_symbol,Ift74
parameter_name,Eosinophils
pvalue,0.3912633
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_052_001
mouse_strain,C57BL
