analysis_id,q12ls11f5nvzi3s
gene_accession_id,MGI:2673000
mouse_strain,C57BL
parameter_id,MGP_IMM_071_001
gene_symbol,Trim46
pvalue,0.8422887
parameter_name,Total CD4+ T cells - % of CD45+
mouse_life_stage,Early adult
