parameter_name,Mean-corpuscular-haemoglobin
pvalue,0.7736522
gene_accession_id,MGI:3650254
mouse_strain,C57BL
analysis_id,o13p6s4451oo992
gene_symbol,Zfp683
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_006
