parameter_name,NK cell number
analysis_id,58g8xjxsh7o8uc1
parameter_id,MGP_PBI_027_001
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
pvalue,0.3139781
mouse_life_stage,Early adult
mouse_strain,C57BL
