parameter_name,Embryo turning
gene_accession_id,MGI:1916043
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,47d96u3hc92ms08
gene_symbol,Rab3gap2
parameter_id,IMPC_GEL_011_001
pvalue,0.711254
