parameter_name,Embryo Size
pvalue,0.4030932
analysis_id,5vt4pz17o5333ft
mouse_strain,C57BL
gene_accession_id,MGI:1914071
parameter_id,IMPC_GEP_022_001
mouse_life_stage,E9.5
gene_symbol,Bcs1l
