gene_symbol,Tox
mouse_strain,C57BL
gene_accession_id,MGI:2181659
parameter_id,MGP_CSD_066_001
mouse_life_stage,Early adult
parameter_name,Snout morphology
analysis_id,2529yre7i8ya9h9
pvalue,0.3399835
