analysis_id,2tzx7tzloh4v70b
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
gene_symbol,Hspa5
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
parameter_id,HRWLLA_CBC_014_001
pvalue,0.2614515
