parameter_name,center - resting time
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Extl1
analysis_id,np8xo1ex55xg737
pvalue,0.2267118
parameter_id,M-G-P_007_001_011
gene_accession_id,MGI:1888742
