analysis_id,vj5bd2924mr5239
pvalue,0.7096186
gene_accession_id,MGI:1916363
parameter_name,KLRG1+ gd T cells - % of gd T cells
parameter_id,MGP_MLN_021_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Alkbh3
