analysis_id,b3q85m1574799x9
mouse_strain,129SV
gene_accession_id,MGI:1920638
parameter_id,MGP_IMM_027_001
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_symbol,Bpifa3
mouse_life_stage,Early adult
pvalue,0.1610464
