parameter_name,Neutrophils
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dhdds
analysis_id,qgu1ex379so659k
pvalue,0.05282247
parameter_id,IMPC_IMM_050_001
