gene_symbol,Tbl1xr1
parameter_id,IMPC_IMM_063_001
parameter_name,B Cells
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
mouse_strain,C57BL
pvalue,0.8349766
analysis_id,82z5834313myq22
