gene_symbol,Atg4c
pvalue,0.5288029
parameter_name,Sodium
mouse_strain,C57BL
analysis_id,5592n4223s2aa32
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
parameter_id,IMPC_CBC_001_001
