parameter_name,Periphery average speed
gene_accession_id,MGI:894679
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,675zfa4163t7i43
pvalue,0.5914321
gene_symbol,Bach2
parameter_id,HRWLLA_OFD_013_001
