analysis_id,6box90u78568e87
mouse_life_stage,E12.5
parameter_name,Total B cells - % of CD45+
gene_symbol,Ahcy
pvalue,1.328573
gene_accession_id,MGI:87968
mouse_strain,C57BL
parameter_id,MGP_IMM_041_001
