parameter_id,TCPLA_GRS_011_001
gene_symbol,Cds2
analysis_id,41rvt0c69b22031
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
mouse_strain,C57BL
pvalue,0.4063829
