gene_symbol,Kdm5b
analysis_id,p3j43c6jb1194m8
parameter_name,Hemoglobin
parameter_id,IMPC_HEM_003_001
mouse_strain,C57BL
pvalue,0.7780089
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
