analysis_id,93719ux63552fn1
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
pvalue,0.1493995
parameter_name,Average duration
gene_symbol,RGS20
mouse_strain,C57BL
parameter_id,JAX_ROT_002_001
