analysis_id,4923v09w3158363
gene_symbol,Nucks1
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_name,Total CD8+ T cells - % of ab T cells
parameter_id,MGP_IMM_013_001
gene_accession_id,MGI:1934811
pvalue,0.230255
