gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
mouse_life_stage,Early adult
analysis_id,h864vp55p27l18h
pvalue,0.6472549
parameter_name,Glucose response AUC
parameter_id,ESLIM_004_001_701
