gene_symbol,Ivd
parameter_name,Alpha beta T cell percentage
analysis_id,t520htfa359j9x8
pvalue,0.2089282
parameter_id,MGP_PBI_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1929242
