gene_symbol,Frmpd1
parameter_id,IMPC_CBC_015_001
mouse_life_stage,Late adult
parameter_name,Total cholesterol
gene_accession_id,MGI:2446274
analysis_id,x836863tr3jcil9
mouse_strain,C57BL
pvalue,0.4410502
