parameter_name,ST
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.3697619
gene_symbol,Hpca
parameter_id,IMPC_ECG_008_001
analysis_id,9031a00lj60669h
