gene_symbol,Etfdh
parameter_id,MGP_PBI_018_001
analysis_id,x3n0wlsas3vsp89
mouse_strain,C57BL
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
parameter_name,Ly6Clow monocyte percentage
pvalue,0.3343855
