analysis_id,ze1binf3b8cve6y
Gene_symbol,Ppm1j
Mouse_life_stage,Early adult
mouse_strain,C57BL
Parameter_name,Periphery average speed
Pvalue,0.4637994
Parameter_id,IMPC_OFD_013_001
Gene_accession_id,MGI:1919137
