analysis_id,vpqn68180548r43
pvalue,0.927992
parameter_id,MGP_IMM_071_001
gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
parameter_name,Total CD4+ T cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
