gene_symbol,Zfp683
analysis_id,82xci83fae5p972
parameter_id,HRWLLA_DXA_007_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
pvalue,0.9734113
parameter_name,BMC/Body weight
