parameter_id,IMPC_IPG_010_001
pvalue,0.07621094
mouse_life_stage,Early adult
analysis_id,jp3239lsomt4y87
parameter_name,Fasted blood glucose concentration
gene_accession_id,MGI:1919949
mouse_strain,C57BL
gene_symbol,Lime1
