gene_symbol,Rgs20
mouse_strain,C57BL
pvalue,0.4558197
mouse_life_stage,Early adult
analysis_id,8a63sn14d6pdzwy
parameter_name,CD4+ alpha beta T cell percentage
gene_accession_id,MGI:1929866
parameter_id,MGP_PBI_003_001
