analysis_id,515dxnr7d00alnd
gene_symbol,Cds2
gene_accession_id,MGI:1332236
mouse_strain,C57BL
parameter_name,Latency to center entry
parameter_id,IMPC_OFD_018_001
mouse_life_stage,Early adult
pvalue,0.8075692
