analysis_id,c17d175g9gml32f
parameter_name,Startle response
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
pvalue,0.1440001
