gene_symbol,Fpgs
parameter_name,PP1 + pulse startle magnitude
analysis_id,5r6z33pmji981lf
pvalue,0.1786162
parameter_id,ESLIM_011_001_007
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:95576
