gene_symbol,Kdm5b
mouse_life_stage,Early adult
parameter_name,Latency to first transition into dark
mouse_strain,C57BL
gene_accession_id,MGI:1922855
analysis_id,7g074q7voyt9uct
pvalue,0.8069708
parameter_id,IMPC_LDT_006_001
