parameter_name,Respiration Rate
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
gene_symbol,Pglyrp3
parameter_id,IMPC_ECH_018_001
pvalue,0.4037108
analysis_id,cnm9v03cwc4y462
