gene_symbol,Rab3gap2
mouse_life_stage,Early adult
analysis_id,h8t755q3z38ej91
gene_accession_id,MGI:1916043
mouse_strain,C57BL
pvalue,0.1682064
parameter_name,Right total retinal thickness
parameter_id,IMPC_EYE_062_001
