parameter_name,CD8 CD44+CD62L- T cells
mouse_strain,C57BL
analysis_id,8223cv6kh614909
gene_symbol,Inpp1
parameter_id,IMPC_IMM_032_001
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
pvalue,0.6401383
