analysis_id,3hi6737f3h4dv8u
parameter_id,IMPC_HEM_005_001
parameter_name,Mean cell volume
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
pvalue,0.08896697
mouse_strain,C57BL
gene_symbol,Snap23
