parameter_name,Percentage center time
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Dhdds
analysis_id,xjbt8592134gdm0
parameter_id,JAX_OFD_022_001
pvalue,0.08641895
gene_accession_id,MGI:1914672
