gene_symbol,Sfpq
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Number of centre entries
analysis_id,2w04eau095g669f
pvalue,0.1841878
parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:1918764
